face_color,hair_color,upper_color,lower_color
fair,Brown,sky_blue,white
dark,Blonde,black,charcoal_gray
fair,Blonde,dark_brown,black
dark,Blonde,light_gray,light_blue
normal,Brown,gold,light_blue
dark,Blonde,pink,dark_blue
fair,Blonde,charcoal_gray,black
fair,Black,light_blue,light_gray
normal,Brown,navy_blue,medium_gray
fair,Blonde,violet,light_gray
fair,Black,brown,dark_blue
normal,Blonde,sky_blue,black
normal,Blonde,brown,dark_brown
normal,Blonde,black,brown
normal,Black,gold,khaki_brown
dark,Brown,black,light_blue
fair,Black,dark_blue,navy_blue
fair,Brown,spring_green,black
normal,Blonde,red,gold
dark,Brown,khaki_brown,navy_blue
fair,Black,purple,charcoal_gray
normal,Brown,blue,tan_brown
normal,Blonde,spring_green,medium_gray
dark,Black,spring_green,khaki_brown
fair,Brown,gold,dark_brown
dark,Brown,maroon,white
normal,Blonde,dark_blue,tan_brown
dark,Brown,brown,tan_brown
dark,Blonde,medium_gray,brown
fair,Blonde,maroon,white
fair,Black,blue,tan_brown
normal,Blonde,light_blue,medium_gray
dark,Black,yellow,light_gray
dark,Brown,medium_gray,brown
normal,Blonde,dark_blue,light_blue
normal,Black,olive_green,brown
dark,Blonde,lavender,dark_blue
dark,Brown,purple,medium_gray
dark,Blonde,black,white
fair,Brown,olive_green,dark_brown
normal,Black,green,medium_gray
normal,Brown,light_gray,khaki_brown
dark,Brown,sky_blue,black
normal,Blonde,medium_gray,brown
normal,Blonde,gold,black
fair,Black,green,light_gray
dark,Blonde,orange,navy_blue
normal,Blonde,brown,tan_brown
normal,Black,violet,light_blue
normal,Brown,khaki_brown,light_blue
dark,Black,green,dark_brown
normal,Blonde,black,khaki_brown
dark,Black,orange,medium_gray
normal,Blonde,charcoal_gray,medium_gray
normal,Brown,orange,light_gray
dark,Blonde,dark_blue,gold
dark,Brown,olive_green,light_gray
dark,Blonde,olive_green,dark_brown
fair,Brown,sky_blue,charcoal_gray
fair,Black,brown,khaki_brown
dark,Blonde,sky_blue,brown
fair,Black,orange,tan_brown
fair,Brown,dark_blue,khaki_brown
normal,Black,violet,charcoal_gray
fair,Black,maroon,khaki_brown
normal,Black,green,gold
normal,Blonde,khaki_brown,dark_brown
normal,Blonde,pink,charcoal_gray
dark,Black,burnt_orange,light_gray
fair,Blonde,dark_brown,white
dark,Blonde,lavender,white
normal,Brown,yellow,charcoal_gray
normal,Black,lavender,navy_blue
fair,Brown,charcoal_gray,white
fair,Brown,dark_brown,brown
dark,Black,khaki_brown,navy_blue
fair,Black,navy_blue,black
fair,Blonde,white,gold
fair,Black,brown,white
fair,Blonde,white,white
fair,Black,lavender,light_gray
normal,Black,pink,medium_gray
dark,Brown,sky_blue,tan_brown
normal,Blonde,purple,dark_blue
fair,Brown,light_gray,black
fair,Blonde,tan_brown,dark_brown
fair,Brown,olive_green,navy_blue
normal,Brown,lavender,black
dark,Black,spring_green,light_gray
fair,Black,khaki_brown,khaki_brown
dark,Brown,maroon,charcoal_gray
dark,Brown,maroon,gold
dark,Brown,lavender,light_gray
dark,Blonde,sky_blue,gold
fair,Blonde,orange,light_gray
normal,Brown,navy_blue,light_blue
fair,Blonde,charcoal_gray,dark_blue
dark,Brown,charcoal_gray,medium_gray
normal,Blonde,brown,black
dark,Blonde,purple,gold
normal,Black,gold,black
fair,Blonde,burnt_orange,charcoal_gray
normal,Brown,spring_green,white
dark,Blonde,tan_brown,light_blue
normal,Black,red,tan_brown
fair,Brown,burnt_orange,brown
dark,Brown,charcoal_gray,tan_brown
dark,Brown,violet,black
dark,Black,khaki_brown,medium_gray
dark,Black,dark_blue,white
fair,Blonde,gold,black
dark,Blonde,lavender,medium_gray
dark,Black,blue,dark_brown
dark,Blonde,sky_blue,charcoal_gray
dark,Black,gold,light_blue
dark,Brown,brown,khaki_brown
fair,Blonde,violet,brown
fair,Black,pink,white
fair,Blonde,sky_blue,medium_gray
normal,Brown,charcoal_gray,tan_brown
dark,Black,white,medium_gray
dark,Brown,khaki_brown,brown
normal,Brown,lavender,charcoal_gray
fair,Blonde,burnt_orange,navy_blue
dark,Black,dark_blue,navy_blue
fair,Black,light_gray,khaki_brown
normal,Brown,medium_gray,gold
fair,Brown,dark_blue,tan_brown
dark,Blonde,orange,gold
dark,Blonde,red,dark_blue
fair,Brown,red,charcoal_gray
normal,Brown,dark_brown,charcoal_gray
fair,Blonde,black,dark_blue
normal,Brown,olive_green,dark_brown
dark,Blonde,red,gold
dark,Black,brown,charcoal_gray
fair,Blonde,khaki_brown,gold
dark,Blonde,dark_blue,dark_brown
dark,Black,black,charcoal_gray
normal,Black,pink,charcoal_gray
fair,Blonde,light_blue,brown
dark,Blonde,dark_brown,khaki_brown
dark,Brown,white,light_blue
normal,Black,charcoal_gray,white
dark,Brown,charcoal_gray,white
normal,Blonde,sky_blue,khaki_brown
normal,Black,lavender,charcoal_gray
dark,Black,white,dark_brown
fair,Blonde,dark_blue,khaki_brown
dark,Blonde,dark_blue,khaki_brown
dark,Brown,gold,black
fair,Brown,olive_green,charcoal_gray
fair,Brown,purple,khaki_brown
normal,Black,red,light_blue
dark,Blonde,spring_green,medium_gray
dark,Black,green,light_blue
fair,Brown,light_gray,tan_brown
normal,Brown,white,khaki_brown
normal,Blonde,white,charcoal_gray
dark,Brown,lavender,white
fair,Black,medium_gray,dark_brown
fair,Brown,medium_gray,tan_brown
fair,Brown,light_gray,brown
fair,Black,olive_green,tan_brown
dark,Brown,maroon,light_gray
dark,Black,tan_brown,tan_brown
fair,Brown,pink,dark_brown
normal,Black,navy_blue,light_blue
dark,Black,brown,light_gray
normal,Brown,orange,black
normal,Blonde,tan_brown,khaki_brown
fair,Black,light_gray,gold
normal,Brown,burnt_orange,white
normal,Brown,dark_blue,brown
dark,Blonde,light_gray,navy_blue
fair,Brown,purple,dark_brown
fair,Brown,pink,light_gray
dark,Brown,light_gray,white
fair,Brown,green,light_gray
normal,Black,dark_brown,black
normal,Blonde,blue,black
fair,Brown,light_gray,khaki_brown
fair,Black,gold,medium_gray
dark,Black,khaki_brown,white
dark,Blonde,khaki_brown,light_blue
normal,Brown,orange,charcoal_gray
dark,Black,maroon,dark_blue
fair,Blonde,green,white
dark,Black,yellow,black
normal,Blonde,spring_green,white
normal,Brown,black,white
dark,Blonde,yellow,navy_blue
fair,Blonde,burnt_orange,white
fair,Blonde,gold,charcoal_gray
fair,Brown,burnt_orange,gold
normal,Black,red,medium_gray
fair,Black,dark_blue,light_gray
normal,Black,light_blue,light_blue
fair,Brown,tan_brown,light_gray
fair,Blonde,navy_blue,brown
fair,Blonde,green,dark_blue
fair,Black,blue,dark_brown
fair,Brown,spring_green,white
normal,Brown,medium_gray,dark_brown
fair,Black,maroon,white
fair,Black,white,light_gray
normal,Brown,white,white
fair,Black,burnt_orange,gold
fair,Black,orange,light_blue
fair,Blonde,light_blue,dark_blue
normal,Blonde,sky_blue,light_gray
fair,Black,gold,light_gray
normal,Black,white,dark_blue
dark,Brown,khaki_brown,dark_brown
normal,Blonde,dark_blue,dark_blue
dark,Brown,light_gray,dark_brown
fair,Blonde,charcoal_gray,medium_gray
normal,Brown,pink,charcoal_gray
fair,Blonde,spring_green,dark_brown
fair,Black,dark_brown,khaki_brown
normal,Black,purple,brown
normal,Blonde,violet,tan_brown
dark,Brown,purple,tan_brown
normal,Blonde,light_blue,dark_blue
fair,Brown,medium_gray,dark_blue
dark,Black,white,brown
normal,Brown,purple,brown
fair,Black,gold,khaki_brown
fair,Brown,light_gray,charcoal_gray
dark,Blonde,dark_brown,gold
dark,Blonde,black,khaki_brown
normal,Blonde,light_blue,light_blue
fair,Brown,navy_blue,navy_blue
fair,Brown,burnt_orange,white
normal,Blonde,dark_blue,dark_brown
normal,Black,khaki_brown,brown
fair,Brown,khaki_brown,medium_gray
dark,Brown,burnt_orange,dark_brown
fair,Blonde,sky_blue,black
dark,Blonde,violet,black
fair,Blonde,blue,tan_brown
normal,Black,violet,dark_blue
fair,Brown,blue,khaki_brown
dark,Blonde,khaki_brown,gold
dark,Brown,light_gray,dark_blue
dark,Blonde,purple,tan_brown
fair,Black,spring_green,khaki_brown
dark,Black,burnt_orange,brown
fair,Brown,maroon,black
normal,Brown,light_gray,navy_blue
dark,Brown,spring_green,khaki_brown
dark,Blonde,white,brown
dark,Brown,green,khaki_brown
normal,Black,black,tan_brown
dark,Brown,pink,gold
normal,Black,khaki_brown,dark_brown
dark,Blonde,black,navy_blue
dark,Blonde,light_gray,white
dark,Brown,light_blue,black
dark,Brown,violet,medium_gray
dark,Black,pink,black
fair,Blonde,blue,black
dark,Black,maroon,tan_brown
fair,Brown,gold,black
normal,Black,dark_blue,light_blue
fair,Blonde,khaki_brown,black
dark,Blonde,sky_blue,dark_blue
normal,Black,yellow,white
dark,Black,maroon,brown
fair,Black,white,khaki_brown
normal,Black,medium_gray,khaki_brown
normal,Brown,burnt_orange,gold
dark,Black,red,black
fair,Blonde,purple,charcoal_gray
dark,Black,spring_green,dark_blue
dark,Black,khaki_brown,dark_blue
fair,Blonde,blue,brown
normal,Blonde,maroon,tan_brown
dark,Blonde,green,charcoal_gray
normal,Black,white,white
fair,Blonde,pink,navy_blue
fair,Blonde,spring_green,medium_gray
dark,Blonde,white,dark_blue
dark,Brown,red,dark_brown
fair,Black,burnt_orange,charcoal_gray
normal,Blonde,brown,light_gray
normal,Blonde,navy_blue,black
normal,Brown,purple,khaki_brown
fair,Brown,violet,charcoal_gray
dark,Black,light_blue,white
normal,Black,dark_blue,brown
dark,Blonde,yellow,dark_blue
dark,Blonde,white,medium_gray
fair,Brown,light_gray,dark_brown
fair,Black,spring_green,navy_blue
fair,Black,purple,white
fair,Black,maroon,black
fair,Brown,green,black
fair,Brown,maroon,brown
normal,Black,spring_green,gold
fair,Black,white,tan_brown
dark,Brown,violet,charcoal_gray
fair,Brown,orange,tan_brown
fair,Brown,pink,navy_blue
normal,Blonde,tan_brown,light_blue
normal,Brown,purple,navy_blue
fair,Brown,violet,light_gray
fair,Brown,green,medium_gray
dark,Brown,white,light_gray
dark,Blonde,medium_gray,black
fair,Black,tan_brown,brown
dark,Brown,dark_brown,light_gray
fair,Brown,spring_green,brown
dark,Brown,tan_brown,medium_gray
normal,Brown,orange,white
fair,Blonde,lavender,light_blue
dark,Black,navy_blue,brown
dark,Brown,purple,light_blue
normal,Brown,lavender,dark_brown
normal,Brown,orange,gold
normal,Blonde,maroon,navy_blue
normal,Brown,medium_gray,medium_gray
dark,Blonde,yellow,gold
dark,Brown,yellow,white
fair,Black,sky_blue,medium_gray
dark,Blonde,gold,light_blue
dark,Brown,light_gray,brown
dark,Brown,light_blue,navy_blue
dark,Brown,gold,khaki_brown
normal,Brown,light_blue,light_blue
normal,Black,gold,light_gray
fair,Brown,spring_green,light_blue
dark,Blonde,blue,dark_blue
fair,Black,spring_green,light_blue
dark,Black,light_gray,gold
dark,Black,brown,gold
dark,Black,dark_blue,khaki_brown
fair,Black,light_gray,light_blue
fair,Blonde,khaki_brown,white
fair,Blonde,black,medium_gray
fair,Black,sky_blue,white
dark,Brown,black,dark_brown
dark,Brown,charcoal_gray,black
dark,Brown,spring_green,medium_gray
fair,Brown,purple,dark_blue
fair,Brown,blue,light_gray
dark,Brown,orange,navy_blue
normal,Black,black,light_gray
normal,Brown,pink,dark_brown
normal,Brown,red,black
dark,Brown,black,charcoal_gray
dark,Brown,light_gray,khaki_brown
normal,Blonde,lavender,tan_brown
dark,Blonde,light_gray,light_gray
fair,Brown,dark_brown,white
normal,Brown,dark_brown,light_gray
normal,Blonde,blue,charcoal_gray
normal,Blonde,dark_blue,gold
fair,Brown,green,khaki_brown
normal,Black,dark_brown,dark_brown
normal,Black,tan_brown,light_gray
fair,Blonde,maroon,dark_blue
dark,Black,maroon,black
dark,Blonde,brown,medium_gray
normal,Blonde,light_gray,tan_brown
dark,Black,lavender,dark_brown
fair,Blonde,charcoal_gray,navy_blue
normal,Brown,olive_green,tan_brown
fair,Brown,red,black
normal,Black,dark_blue,dark_brown
normal,Blonde,maroon,khaki_brown
dark,Black,light_gray,light_blue
normal,Black,charcoal_gray,medium_gray
fair,Black,sky_blue,black
fair,Blonde,olive_green,light_gray
fair,Brown,dark_blue,light_blue
fair,Black,violet,navy_blue
fair,Blonde,tan_brown,tan_brown
normal,Brown,gold,charcoal_gray
dark,Blonde,dark_blue,black
dark,Black,burnt_orange,gold
normal,Blonde,violet,light_blue
fair,Blonde,blue,medium_gray
fair,Black,burnt_orange,medium_gray
normal,Blonde,tan_brown,white
normal,Black,orange,medium_gray
dark,Black,orange,navy_blue
normal,Brown,blue,navy_blue
normal,Blonde,pink,medium_gray
dark,Brown,lavender,medium_gray
fair,Black,tan_brown,dark_blue
normal,Black,light_gray,black
normal,Black,white,tan_brown
dark,Brown,brown,light_gray
dark,Black,dark_blue,light_blue
normal,Blonde,violet,white
dark,Black,charcoal_gray,brown
normal,Black,maroon,dark_brown
fair,Brown,blue,black
dark,Blonde,charcoal_gray,gold
dark,Brown,blue,brown
dark,Black,dark_blue,brown
fair,Blonde,navy_blue,gold
fair,Black,medium_gray,medium_gray
normal,Brown,white,light_gray
dark,Black,violet,dark_blue
dark,Black,violet,navy_blue
normal,Brown,light_blue,dark_brown
dark,Black,light_blue,light_gray
normal,Black,burnt_orange,tan_brown
normal,Brown,lavender,gold
fair,Brown,lavender,brown
fair,Blonde,violet,dark_brown
normal,Brown,light_blue,white
normal,Blonde,burnt_orange,medium_gray
fair,Brown,tan_brown,medium_gray
dark,Brown,navy_blue,light_gray
dark,Black,light_blue,tan_brown
fair,Blonde,tan_brown,medium_gray
normal,Blonde,purple,light_blue
fair,Black,spring_green,charcoal_gray
fair,Black,light_blue,medium_gray
fair,Blonde,gold,gold
normal,Black,light_gray,dark_brown
dark,Blonde,charcoal_gray,charcoal_gray
normal,Black,burnt_orange,khaki_brown
normal,Black,olive_green,medium_gray
normal,Blonde,violet,black
normal,Blonde,tan_brown,brown
normal,Blonde,tan_brown,tan_brown
normal,Brown,spring_green,brown
normal,Blonde,lavender,dark_brown
dark,Brown,sky_blue,khaki_brown
normal,Brown,tan_brown,light_blue
dark,Blonde,dark_brown,medium_gray
normal,Black,charcoal_gray,tan_brown
fair,Brown,violet,white
dark,Black,olive_green,dark_brown
dark,Blonde,sky_blue,black
normal,Black,charcoal_gray,brown
fair,Brown,brown,light_gray
fair,Black,orange,dark_brown
normal,Brown,brown,brown
normal,Brown,light_gray,tan_brown
fair,Blonde,white,black
dark,Blonde,navy_blue,charcoal_gray
normal,Brown,light_gray,dark_blue
normal,Blonde,charcoal_gray,light_blue
dark,Brown,lavender,light_blue
normal,Blonde,dark_brown,dark_blue
dark,Black,spring_green,white
fair,Blonde,pink,tan_brown
fair,Brown,sky_blue,brown
fair,Blonde,violet,navy_blue
fair,Black,dark_brown,gold
normal,Blonde,light_blue,khaki_brown
fair,Blonde,brown,charcoal_gray
dark,Black,red,dark_brown
fair,Brown,khaki_brown,tan_brown
fair,Blonde,black,brown
dark,Black,green,khaki_brown
dark,Black,purple,tan_brown
fair,Black,blue,light_gray
normal,Black,medium_gray,medium_gray
normal,Blonde,dark_brown,white
fair,Brown,brown,medium_gray
fair,Blonde,blue,dark_brown
normal,Black,burnt_orange,light_blue
dark,Blonde,pink,white
normal,Blonde,navy_blue,light_blue
dark,Brown,yellow,light_gray
dark,Blonde,red,tan_brown
fair,Black,khaki_brown,medium_gray
normal,Blonde,olive_green,medium_gray
normal,Black,dark_brown,medium_gray
normal,Black,brown,light_blue
dark,Blonde,yellow,tan_brown
fair,Blonde,dark_blue,dark_blue
normal,Blonde,brown,navy_blue
dark,Blonde,olive_green,charcoal_gray
fair,Black,pink,medium_gray
fair,Blonde,purple,white
fair,Blonde,orange,navy_blue
fair,Brown,spring_green,navy_blue
normal,Brown,dark_brown,white
dark,Black,purple,khaki_brown
fair,Brown,brown,charcoal_gray
fair,Brown,medium_gray,brown
normal,Black,red,brown
dark,Black,yellow,brown
normal,Black,light_blue,khaki_brown
normal,Brown,black,tan_brown
fair,Black,yellow,navy_blue
normal,Brown,spring_green,light_blue
dark,Blonde,light_blue,brown
fair,Blonde,sky_blue,brown
normal,Black,gold,navy_blue
dark,Black,tan_brown,light_blue
dark,Brown,spring_green,white
fair,Black,dark_brown,tan_brown
dark,Blonde,charcoal_gray,medium_gray
dark,Black,green,white
dark,Black,dark_blue,tan_brown
dark,Blonde,green,dark_blue
fair,Blonde,black,charcoal_gray
normal,Black,blue,dark_brown
fair,Black,red,black
dark,Blonde,orange,tan_brown
normal,Black,olive_green,light_blue
dark,Brown,navy_blue,white
fair,Brown,pink,gold
dark,Blonde,black,brown
fair,Black,medium_gray,tan_brown
normal,Brown,black,light_gray
dark,Blonde,medium_gray,white
normal,Blonde,burnt_orange,charcoal_gray
normal,Brown,tan_brown,dark_blue
normal,Brown,olive_green,white
normal,Brown,sky_blue,dark_blue
dark,Brown,dark_brown,light_blue
normal,Black,dark_brown,brown
normal,Brown,burnt_orange,charcoal_gray
fair,Brown,lavender,charcoal_gray
dark,Blonde,brown,light_gray
dark,Brown,blue,tan_brown
fair,Blonde,maroon,brown
dark,Black,pink,brown
fair,Brown,light_blue,light_blue
normal,Brown,lavender,khaki_brown
normal,Black,spring_green,black
dark,Black,white,light_gray
fair,Black,khaki_brown,navy_blue
dark,Blonde,orange,medium_gray
fair,Black,light_gray,black
fair,Blonde,medium_gray,charcoal_gray
dark,Brown,gold,white
fair,Blonde,purple,dark_brown
dark,Blonde,charcoal_gray,navy_blue
dark,Brown,purple,white
normal,Blonde,maroon,light_gray
fair,Black,tan_brown,medium_gray
dark,Brown,burnt_orange,charcoal_gray
dark,Brown,dark_blue,gold
normal,Blonde,red,khaki_brown
dark,Blonde,light_gray,khaki_brown
fair,Blonde,green,light_gray
fair,Brown,olive_green,light_blue
dark,Brown,light_gray,gold
fair,Black,olive_green,black
fair,Black,orange,medium_gray
fair,Black,light_blue,charcoal_gray
normal,Black,orange,brown
normal,Brown,purple,gold
fair,Blonde,olive_green,medium_gray
normal,Blonde,red,light_gray
normal,Brown,pink,gold
fair,Blonde,sky_blue,light_gray
normal,Blonde,yellow,gold
dark,Black,navy_blue,black
normal,Brown,maroon,navy_blue
fair,Black,medium_gray,black
normal,Black,navy_blue,khaki_brown
normal,Black,charcoal_gray,light_blue
normal,Brown,red,khaki_brown
fair,Brown,navy_blue,khaki_brown
normal,Brown,white,charcoal_gray
fair,Black,khaki_brown,white
fair,Blonde,dark_brown,tan_brown
fair,Blonde,olive_green,brown
normal,Blonde,dark_brown,navy_blue
fair,Black,dark_blue,khaki_brown
normal,Blonde,yellow,white
fair,Brown,dark_blue,navy_blue
fair,Brown,violet,tan_brown
normal,Black,medium_gray,light_blue
dark,Black,dark_brown,light_gray
normal,Black,maroon,gold
normal,Brown,lavender,navy_blue
fair,Blonde,brown,medium_gray
fair,Black,blue,charcoal_gray
dark,Black,red,gold
dark,Brown,navy_blue,gold
normal,Brown,maroon,dark_blue
normal,Blonde,brown,brown
fair,Black,green,dark_blue
dark,Black,blue,light_blue
normal,Blonde,orange,gold
fair,Black,maroon,dark_blue
normal,Black,sky_blue,light_blue
dark,Black,dark_blue,charcoal_gray
dark,Black,lavender,tan_brown
fair,Blonde,sky_blue,light_blue
dark,Brown,navy_blue,khaki_brown
dark,Brown,olive_green,gold
fair,Black,yellow,khaki_brown
normal,Blonde,green,charcoal_gray
fair,Brown,gold,light_gray
normal,Brown,olive_green,light_blue
normal,Black,dark_brown,light_blue
normal,Blonde,brown,dark_blue
fair,Brown,tan_brown,dark_brown
dark,Black,black,light_blue
normal,Black,charcoal_gray,dark_blue
dark,Black,yellow,medium_gray
fair,Black,medium_gray,light_gray
fair,Brown,light_blue,dark_brown
normal,Black,yellow,dark_brown
dark,Black,violet,dark_brown
normal,Blonde,blue,dark_brown
dark,Blonde,khaki_brown,navy_blue
normal,Blonde,burnt_orange,white
normal,Brown,pink,dark_blue
normal,Blonde,medium_gray,gold
fair,Blonde,olive_green,tan_brown
normal,Blonde,white,navy_blue
normal,Brown,purple,medium_gray
dark,Black,red,navy_blue
dark,Blonde,blue,tan_brown
dark,Blonde,olive_green,tan_brown
dark,Brown,gold,medium_gray
dark,Blonde,green,navy_blue
normal,Black,black,dark_brown
normal,Blonde,black,light_gray
fair,Black,violet,light_blue
normal,Brown,red,white
normal,Blonde,blue,white
normal,Black,light_blue,gold
normal,Brown,khaki_brown,dark_brown
normal,Blonde,black,tan_brown
dark,Blonde,pink,navy_blue
normal,Blonde,orange,dark_blue
fair,Brown,orange,black
normal,Brown,light_blue,gold
dark,Black,green,light_gray
fair,Blonde,black,dark_brown
fair,Black,burnt_orange,navy_blue
dark,Blonde,purple,white
fair,Brown,sky_blue,light_gray
normal,Brown,burnt_orange,dark_blue
fair,Brown,blue,dark_brown
dark,Black,purple,medium_gray
fair,Blonde,navy_blue,tan_brown
fair,Brown,sky_blue,navy_blue
normal,Brown,light_gray,dark_brown
fair,Blonde,spring_green,khaki_brown
normal,Blonde,black,light_blue
fair,Blonde,gold,tan_brown
dark,Brown,orange,khaki_brown
dark,Blonde,navy_blue,white
normal,Brown,brown,khaki_brown
dark,Blonde,green,gold
normal,Blonde,light_gray,dark_brown
normal,Blonde,navy_blue,dark_blue
normal,Brown,blue,brown
fair,Black,tan_brown,navy_blue
normal,Black,khaki_brown,light_gray
normal,Brown,sky_blue,dark_brown
normal,Black,maroon,black
normal,Black,spring_green,dark_blue
normal,Black,yellow,charcoal_gray
fair,Blonde,black,gold
dark,Blonde,gold,white
dark,Black,lavender,navy_blue
normal,Black,navy_blue,light_gray
normal,Brown,navy_blue,light_gray
dark,Brown,violet,khaki_brown
normal,Brown,olive_green,charcoal_gray
dark,Black,light_blue,black
dark,Brown,lavender,black
normal,Brown,light_gray,brown
normal,Black,light_blue,black
dark,Brown,orange,dark_blue
dark,Brown,dark_brown,charcoal_gray
normal,Black,orange,light_blue
dark,Black,orange,tan_brown
normal,Blonde,lavender,light_gray
dark,Brown,white,gold
normal,Black,yellow,light_gray
dark,Brown,spring_green,light_gray
normal,Brown,white,navy_blue
normal,Blonde,light_blue,light_gray
fair,Brown,gold,light_blue
normal,Blonde,burnt_orange,navy_blue
fair,Brown,light_gray,navy_blue
fair,Brown,maroon,medium_gray
fair,Brown,charcoal_gray,dark_brown
fair,Black,navy_blue,gold
fair,Brown,blue,tan_brown
fair,Blonde,light_gray,tan_brown
normal,Brown,dark_blue,tan_brown
normal,Blonde,spring_green,gold
normal,Brown,medium_gray,white
dark,Black,olive_green,navy_blue
fair,Brown,maroon,tan_brown
normal,Black,burnt_orange,brown
dark,Brown,pink,light_gray
fair,Black,maroon,dark_brown
dark,Brown,tan_brown,gold
dark,Black,sky_blue,white
normal,Black,spring_green,white
dark,Black,light_gray,navy_blue
dark,Black,brown,khaki_brown
fair,Blonde,spring_green,black
normal,Blonde,dark_brown,light_blue
dark,Brown,yellow,light_blue
dark,Blonde,medium_gray,charcoal_gray
dark,Blonde,light_gray,dark_brown
fair,Brown,black,white
fair,Brown,tan_brown,navy_blue
fair,Brown,spring_green,dark_blue
normal,Brown,white,dark_blue
dark,Brown,charcoal_gray,charcoal_gray
dark,Black,medium_gray,light_blue
fair,Brown,dark_blue,black
normal,Black,medium_gray,charcoal_gray
fair,Blonde,light_gray,medium_gray
fair,Blonde,red,dark_brown
fair,Brown,khaki_brown,khaki_brown
normal,Black,khaki_brown,charcoal_gray
dark,Brown,olive_green,light_blue
dark,Brown,gold,light_blue
dark,Brown,olive_green,charcoal_gray
dark,Brown,sky_blue,brown
normal,Brown,tan_brown,charcoal_gray
fair,Blonde,orange,black
dark,Brown,orange,gold
normal,Black,brown,dark_blue
fair,Black,dark_blue,charcoal_gray
dark,Black,purple,dark_brown
normal,Brown,blue,light_blue
fair,Black,light_blue,dark_blue
normal,Blonde,olive_green,white
normal,Brown,light_blue,tan_brown
normal,Brown,khaki_brown,navy_blue
dark,Brown,dark_blue,khaki_brown
fair,Black,khaki_brown,light_gray
fair,Black,gold,white
dark,Black,green,charcoal_gray
fair,Blonde,tan_brown,gold
normal,Black,maroon,khaki_brown
dark,Blonde,violet,light_blue
fair,Blonde,charcoal_gray,light_blue
dark,Blonde,navy_blue,tan_brown
normal,Black,medium_gray,gold
normal,Blonde,purple,dark_brown
normal,Brown,gold,light_gray
dark,Brown,brown,white
dark,Black,lavender,light_gray
dark,Blonde,green,black
fair,Blonde,green,tan_brown
dark,Black,yellow,tan_brown
fair,Blonde,dark_blue,gold
normal,Black,light_gray,white
dark,Black,lavender,brown
normal,Brown,pink,tan_brown
normal,Brown,light_blue,dark_blue
fair,Blonde,burnt_orange,light_blue
normal,Black,yellow,gold
normal,Black,blue,black
fair,Blonde,pink,light_blue
normal,Blonde,white,gold
dark,Brown,khaki_brown,dark_blue
fair,Brown,olive_green,white
normal,Black,medium_gray,tan_brown
fair,Blonde,red,light_gray
dark,Brown,brown,light_blue
fair,Brown,light_blue,charcoal_gray
fair,Brown,medium_gray,medium_gray
normal,Brown,dark_brown,gold
dark,Blonde,dark_blue,white
normal,Blonde,navy_blue,white
dark,Blonde,blue,khaki_brown
fair,Brown,khaki_brown,gold
dark,Brown,dark_brown,brown
dark,Blonde,gold,navy_blue
dark,Black,black,light_gray
normal,Brown,sky_blue,gold
fair,Blonde,black,black
fair,Blonde,maroon,gold
normal,Brown,sky_blue,charcoal_gray
normal,Brown,gold,brown
normal,Black,green,black
fair,Black,dark_blue,dark_blue
normal,Brown,orange,dark_brown
dark,Blonde,maroon,gold
dark,Blonde,violet,medium_gray
fair,Black,brown,brown
fair,Brown,spring_green,gold
fair,Brown,light_blue,white
dark,Black,purple,white
fair,Black,light_gray,charcoal_gray
dark,Blonde,dark_blue,brown
fair,Blonde,medium_gray,medium_gray
dark,Black,purple,light_blue
normal,Black,pink,brown
normal,Black,blue,gold
dark,Blonde,charcoal_gray,brown
dark,Blonde,medium_gray,gold
fair,Brown,yellow,light_blue
dark,Black,yellow,dark_blue
dark,Blonde,pink,black
normal,Black,khaki_brown,dark_blue
normal,Brown,violet,brown
dark,Blonde,blue,white
dark,Black,light_gray,tan_brown
dark,Brown,blue,khaki_brown
fair,Blonde,light_blue,light_blue
normal,Brown,white,brown
normal,Black,burnt_orange,black
dark,Brown,green,medium_gray
dark,Brown,sky_blue,light_gray
fair,Blonde,spring_green,white
dark,Blonde,charcoal_gray,white
normal,Black,pink,tan_brown
dark,Black,dark_brown,black
normal,Blonde,charcoal_gray,light_gray
fair,Blonde,khaki_brown,navy_blue
dark,Blonde,black,dark_brown
dark,Brown,dark_blue,white
fair,Blonde,violet,black
normal,Brown,pink,navy_blue
dark,Blonde,dark_brown,brown
normal,Brown,violet,black
normal,Brown,sky_blue,navy_blue
normal,Black,navy_blue,brown
normal,Brown,navy_blue,gold
normal,Blonde,dark_brown,gold
dark,Brown,violet,gold
dark,Blonde,red,black
normal,Brown,maroon,tan_brown
fair,Brown,spring_green,khaki_brown
fair,Blonde,green,brown
fair,Black,lavender,brown
normal,Brown,dark_blue,dark_blue
fair,Brown,black,black
fair,Black,light_blue,tan_brown
normal,Brown,violet,light_blue
normal,Blonde,black,white
normal,Brown,charcoal_gray,charcoal_gray
dark,Black,white,tan_brown
dark,Black,orange,dark_brown
dark,Blonde,khaki_brown,black
normal,Black,sky_blue,khaki_brown
dark,Black,spring_green,black
normal,Brown,white,tan_brown
dark,Brown,green,light_blue
dark,Brown,burnt_orange,black
fair,Blonde,pink,charcoal_gray
normal,Blonde,light_blue,tan_brown
normal,Black,brown,charcoal_gray
normal,Blonde,violet,gold
dark,Blonde,yellow,light_gray
dark,Black,blue,light_gray
dark,Brown,violet,dark_blue
dark,Blonde,red,dark_brown
